conf,end,start,word
0.817759,0.9,0.75,всем
1.0,1.2,0.905467,привет
1.0,1.41,1.2,ещё
1.0,1.59,1.41,раз
1.0,2.43,1.71,расскажу
0.966723,2.76,2.49,пару
0.966723,3.01508,2.76,слов
0.43064,3.42,3.054919,шаге
0.671375,3.96,3.48,обучение
1.0,4.501095,3.96,началось
0.797375,4.62,4.501095,и
1.0,5.01,4.62,две
1.0,5.49,5.01,идеи
0.933593,5.763921,5.49,которые
0.534505,6.0,5.763921,хотят
0.957335,6.51,6.42,с
0.886892,6.75,6.51,вами
1.0,7.23,6.75,поделиться
1.0,8.4,7.62,первая
1.0,8.64,8.4,то
1.0,9.21,8.64,что
1.0,9.45,9.27,с
1.0,9.72,9.45,этого
1.0,9.93,9.72,года
1.0,9.99,9.93,в
1.0,10.32,9.99,шаге
1.0,10.62,10.32,есть
1.0,11.13,10.62,четыре
1.0,11.85,11.13,направления
1.0,12.66,12.15,соответствии
1.0,12.72,12.66,с
1.0,13.38,12.72,которыми
1.0,13.8,13.44,люди
1.0,14.04,13.8,берут
0.850528,14.459999,14.04,курсы
1.0,15.15,14.67,первая
0.52637,15.36737,15.150001,тогда
0.512042,15.54,15.36737,это
0.698576,16.11,15.54,сайленс
1.0,16.47,16.14,потом
1.0,17.01,16.47,разработка
1.0,17.43,17.01,машинного
1.0,17.91,17.43,обучения
1.0,18.57,17.91,разработчик
1.0,18.99,18.57,машинного
1.0,19.5,18.99,обучения
0.780651,21.03,20.46,инфраструктуру
1.0,21.36,21.03,больших
1.0,21.81,21.36,данных
1.0,21.9,21.81,и
0.830735,22.5,21.9,четвёртая
1.0,22.92,22.5,это
1.0,23.28,22.92,анализ
1.0,23.55,23.28,данных
1.0,23.97,23.55,прикладных
1.0,24.24,23.97,наук
1.0,25.32,24.96,очевидно
1.0,25.53,25.32,что
0.552998,25.86,25.53,дейта
1.0,26.49,25.86,сайленс
0.810974,26.67,26.49,это
1.0,27.152789,26.67,больше
0.907028,27.6,27.18,про
0.987464,28.23,27.627175,прототипе
0.707721,28.62,28.23,ирования
0.449038,29.31,28.62,тестирования
1.0,29.73,29.31,каких-то
1.0,30.18,29.73,вещей
0.897196,31.29,30.72,реализация
0.923901,31.41,31.29,на
0.675192,31.92,31.41,коленки
1.0,32.4,31.92,быстро
1.0,32.642633,32.4,чтобы
0.832625,32.91,32.642633,что-то
1.0,33.42,32.91,проверить
1.0,34.59,33.72,проанализировать
0.463369,35.6367,34.89,разработчиков
0.570745,35.91,35.6367,машина
0.592484,36.3,35.91,обучения
1.0,36.51,36.33,чуть
1.0,36.78,36.51,более
1.0,37.23,36.78,глубоко
1.0,37.53,37.23,когда
1.0,37.74,37.53,уже
1.0,38.07,37.74,нужный
1.0,38.37,38.1,код
1.0,38.91,38.37,внедрять
1.0,38.940425,38.91,в
0.882716,39.42,38.940425,продать
0.882716,39.72,39.42,шон
1.0,40.38,40.17,чуть
1.0,40.71,40.38,ближе
1.0,40.77,40.71,к
1.0,41.19,40.77,компьютер
0.702508,41.73,41.19,сайленс
0.448332,42.708827,42.0,инфраструктура
1.0,43.05,42.708827,больших
1.0,43.47,43.05,данных
1.0,43.65,43.47,это
0.822396,43.86,43.65,уже
1.0,44.28,43.86,гораздо
1.0,44.55,44.28,более
0.455422,45.18,44.58,серьёзные
1.0,45.54,45.18,компьютер
0.280069,45.9,45.54,саймон
0.665185,46.23,45.96,ведёт
0.913039,46.95,46.41,кстати
0.784749,47.46,47.04,макс
0.510271,48.06,47.466456,бабёнка
1.0,49.14,48.42,и
1.0,49.53,49.14,это
1.0,50.07,49.53,уже
1.0,50.79,50.19,для
1.0,51.15,50.88,людей
1.0,51.45,51.15,которые
1.0,51.81,51.45,хотят
0.634538,52.230447,51.81,ударится
0.873153,52.44,52.230447,именно
0.971616,52.47,52.44,в
0.681246,53.1,52.47,программирования
1.0,54.897583,53.980349,четвёртая
0.467535,55.71,54.99,направление
1.0,56.25,55.715387,это
0.562227,57.27,56.28,внедрение
1.0,58.38,57.33,десант
1.0,59.52,58.68,инструментов
1.0,60.24,59.82,не
1.0,60.78,60.24,войти
1.0,62.16,61.92,я
1.0,62.52,62.16,подумал
1.0,62.7,62.52,что
1.0,63.06,62.7,больше
1.0,63.243442,63.06,всего
0.765884,63.42,63.243442,мне
0.971155,63.787302,63.42,подходит
1.0,64.32,63.86751,разработчиков
0.437993,64.62,64.32,машина
0.655994,65.1,64.628159,обучения
1.0,65.82,65.1,поскольку
1.0,66.54,65.85,разобраться
1.0,66.63,66.54,с
1.0,66.84,66.63,тем
1.0,67.02,66.84,как
1.0,67.41,67.02,работает
0.756667,67.89,67.41,продаж
1.0,68.46,68.04,немножко
1.0,69.06,68.46,познакомиться
1.0,69.57,69.06,поближе
1.0,69.87,69.78,с
0.906322,70.26,69.87,компьютер
0.627046,70.59,70.26,санс
1.0,70.8,70.59,есть
1.0,71.31,70.8,смысл
0.746409,72.15,72.0,но
1.0,72.33,72.15,при
1.0,72.72,72.33,этом
1.0,73.23,72.72,сильно
1.0,73.59,73.23,слишком
1.0,74.64,73.59,погружаться
1.0,75.36,74.7,в
1.0,77.1,75.75,разработку
0.859198,77.313091,77.22,в
0.64684,77.88,77.313091,продаж
1.0,78.45,78.18,не
1.0,78.87,78.45,стоит
1.0,79.62,78.87,поэтому
0.718384,80.19,79.781689,не
0.854446,80.76,80.512961,дано
1.0,81.731748,81.12,возможно
1.0,82.17,81.75,пошёл
1.0,82.32,82.17,бы
1.0,82.644668,82.32,туда
1.0,83.28,82.65,сейчас
1.0,83.67,83.28,если
1.0,84.09,83.67,бы
0.658863,84.96,84.54,нашёлся
0.726723,85.68,85.26,шад
1.0,86.88,86.64,шесть
1.0,87.06,86.88,лет
1.0,87.36,87.06,раньше
0.676659,89.06458,88.83,вот
1.0,89.25,89.06458,так
1.0,89.43,89.25,вот
1.0,90.24,89.58,такие
1.0,90.93,90.27,направления
0.886075,91.019172,90.93,в
0.820807,91.38,91.019172,видимо
1.0,91.47,91.38,на
1.0,91.62,91.47,них
1.0,91.71,91.62,вы
0.752845,92.07,91.71,пойдёте
0.685516,92.369312,92.334763,в
1.0,92.67,92.369312,следующем
1.0,92.88,92.67,году
1.0,93.06,92.88,кто
1.0,93.27,93.06,будет
0.784117,93.69,93.27,выступать
1.0,94.44,93.99,вторая
1.0,95.82,95.19,главные
1.0,96.27,95.82,слова
0.880172,96.36,96.27,в
1.0,96.9,96.36,шаге
1.0,97.23,96.9,эта
1.0,97.74,97.23,боль
1.0,98.04,97.83,и
0.775775,98.7,98.04,страдания
1.0,100.02,99.63,почему
0.898787,100.26,100.02,так
1.0,100.98,100.62,потому
1.0,101.55,100.98,что
1.0,102.15,101.82,очень
1.0,102.36,102.15,много
1.0,102.75,102.36,учёбы
1.0,103.26,102.93,очень
1.0,103.5,103.26,много
1.0,104.01,103.5,учёбы
1.0,104.31,104.01,очень
1.0,104.58,104.31,много
1.0,105.06,104.58,дедлайн
0.542681,105.09,105.06,и
0.79366,105.42,105.24,все
1.0,105.57,105.42,это
1.0,105.87,105.57,нужно
1.0,106.5,105.87,сдавать
0.856063,107.85,107.7,и
1.0,107.97,107.85,на
1.0,108.12,107.97,это
1.0,108.36,108.12,нужно
1.0,108.66,108.36,очень
1.0,108.87,108.66,много
1.0,109.41,108.87,инвестировать
1.0,109.86,109.41,времени
1.0,110.52,110.46,в
1.0,111.06,110.52,шаге
0.638812,112.68,112.26,господин
0.549742,113.37,112.83,городского
1.0,113.7,113.37,принято
1.0,113.97,113.7,говорить
1.0,114.15,113.97,что
0.720433,114.99,114.72,эту
1.0,115.71,115.020432,задачу
0.568931,117.0,116.756829,я
1.0,117.84,117.42,с
1.0,118.23,117.87,большим
1.0,118.65,118.23,количеством
1.0,119.34,118.65,страданий
1.0,120.48,120.18,будет
1.0,120.81,120.48,много
1.0,121.38,120.81,боли
0.799616,122.28,121.92,здесь
1.0,122.79,122.28,будет
1.0,123.75,123.45,ещё
1.0,124.11,123.75,какие-то
0.401228,124.59,124.11,страдания
0.473441,124.8,124.59,людей
0.972128,125.34,124.815396,заканчиваться
0.622029,125.61,125.34,самая
0.622029,126.000264,125.61,весёлая
0.543716,126.03,126.000264,и
1.0,126.57,126.03,начинается
0.578748,127.23,126.6,бой
1.0,129.42,128.85,забавно
1.0,129.75,129.42,звучит
1.0,129.87,129.75,но
1.0,129.93,129.87,в
1.0,130.11,129.93,этом
1.0,130.29,130.11,есть
0.984872,130.41,130.29,на
0.984872,130.56,130.41,самом
0.984872,130.74,130.56,деле
0.713507,131.13,130.74,смыслом
1.0,132.81,132.33,шад
1.0,133.2,132.84,такая
1.0,133.62,133.2,штука
1.0,134.13,133.62,которая
1.0,134.88,134.13,заставляет
1.0,135.21,134.88,тебя
0.849185,135.78,135.21,инвестирует
0.700349,135.84,135.78,и
0.616218,135.96,135.84,до
1.0,136.29,135.96,время
0.590789,137.7,136.8,задание
1.0,138.03,137.82,не
0.874409,138.15,138.03,то
0.564806,138.3,138.15,что
0.770877,138.51,138.309917,прям
0.803615,138.84,138.518555,сильно
0.881056,139.08,138.84668,руки
0.529427,140.55,139.68,непростые
